Респондент,Сообщество,"Среднегодовой.доход,.тыс..$","Объем.потребленного.алкоголя.в.год,.л.",Количество.членов.семьи,Количество.лет.образования,"Доля.от.дохода.семьи.которая.тратится.на.продовольствие,.%",Коэффициент.Джини.сообщества,"Издержки.сообщества.на.окружающую.среду,.млн..$","Охват.беспроводной.связи.в.сообществе,.%","Количество.смертей.от.вирусных.и.респираторных.заболеваний.в.сообществе,.тыс..человек",Волатильность.потребительских.цен.в.сообществе,Ощущаемое.счастье
32667,438,833.042,34,2,18,38,0.291489903007806,296.46,0.67632305501277,2.69,5.61729827229173,9
5556,119,101.207,65,4,4,69,0.0703924327643472,310.57,0.841052973977513,2.34,6.44378656235948,3
12223,511,627.5,51,1,13,45,0.897228593108426,40.58,0.143281577868205,24.12,0.550674948346517,3
25556,180,93.401,50,3,10,48,0.376128004609664,298.07,0.500572597975213,12.71,5.0668171716656,3
26667,340,715.802,39,3,24,34,0.000480316348181173,369.99,0.947780583207301,1.53,6.75804921120065,9
29112,527,264.43,47,9,15,50,0.561213071934207,190.08,0.495395650180054,12.54,3.95103799235996,2
30112,526,73.879,52,1,12,52,0.583152890246174,190.19,0.535818975234758,10.46,3.8841399393783,2
30334,385,638.776,49,11,14,51,0.651632665508891,152.42,0.431820797166488,13.31,4.01763479040222,4
31334,246,713.35,38,8,21,40,0.713918969032872,173.4,0.360191860366364,12.06,3.8450643489759,7
33556,63,963.072,34,3,20,33,0.345094482497682,305.32,0.624831619789872,2.01,5.6876242757209,9
34334,253,219.192,49,6,14,51,0.928275201461015,13.02,0.262768542238249,23.91,0.538216284029001,1
35223,101,76.639,47,4,17,38,0.725819073770851,126.92,0.222187631975002,12.98,2.0477244407922,5
668,436,167.684,66,2,9,66,0.127986856020237,353.29,0.837986545573464,1.91,6.33315174842849,4
779,364,579.023,52,11,12,44,0.120966453168696,309.38,0.873998245124067,2.26,6.38966714043554,5
890,593,91.058,43,5,18,40,0.687422291133475,106.59,0.252109392755822,13.36,1.83164592147782,4
1001,27,17.732,69,7,5,73,0.337423284102118,287.37,0.669687707952098,1.8,5.63065244284391,3
3557,419,189.111,52,3,8,49,0.287982082591517,341.52,0.696908130105136,1.44,5.36009356012167,4
4223,136,98.939,52,1,11,45,0.664771246793743,162.68,0.359272839834939,13.13,3.83183634167361,2
4334,509,227.999,46,10,15,46,0.178730467419508,328.55,0.868077368671302,2.82,6.52372256143539,5
6001,371,81.626,61,3,10,65,0.805191843574838,170.82,0.395688303268898,10.77,3.99325023501941,1
6334,310,114.366,46,7,15,49,0.730684868880444,132.14,0.23402249184073,12.02,1.88723560086211,2
7112,160,407.289,55,10,11,50,0.382886819322624,324.2,0.692350481094575,2.75,5.68860561357399,5
7223,123,283.568,58,10,10,61,0.189660983613976,306.49,0.803035760817912,2.96,6.4805202128133,3
7445,307,117.572,55,1,14,47,0.66538003531377,210.2,0.413288809409329,13.27,3.53489933854404,2
7779,54,646.607,45,2,20,41,0.68935691020274,102.46,0.257852162008247,11.27,2.04648820895755,7
8334,23,109.678,38,3,17,40,0.85169039965452,86.49,0.114399158756651,12.72,2.03640527385624,4
9001,268,742.612,38,2,21,28,0.834221256658513,56.25,0.175884888251907,12.67,1.74818487278955,7
9334,545,249.457,48,7,14,49,0.275053964884972,324.83,0.883696064871039,1.21,6.50634191448209,5
9667,306,340.588,58,2,9,45,0.269018203960437,248.82,0.557461910422195,12.05,5.48837803046631,3
10001,318,169.391,49,2,11,51,0.308154190606338,301.13,0.790879630530471,2.3,5.64650052999634,5
10556,251,295.061,57,8,10,46,0.665836596115086,168.63,0.331678499230585,12.92,3.79141966670029,1
10778,519,905.47,43,5,23,35,0.841675802373057,21.94,0.173420439511949,21.86,0.264489494033768,7
11557,159,398.638,49,6,11,47,0.957947211377817,65.73,0.166600492725927,32.4,0.281567615756061,1
