Респондент,Сообщество,"Среднегодовой.доход,.тыс..$","Объем.потребленного.алкоголя.в.год,.л.",Количество.членов.семьи,Количество.лет.образования,"Доля.от.дохода.семьи.которая.тратится.на.продовольствие,.%",Коэффициент.Джини.сообщества,"Издержки.сообщества.на.окружающую.среду,.млн..$","Охват.беспроводной.связи.в.сообществе,.%","Количество.смертей.от.вирусных.и.респираторных.заболеваний.в.сообществе,.тыс..человек",Волатильность.потребительских.цен.в.сообществе,Ощущаемое.счастье
32667,438,833.042,34,2,18,38,0.291489903007806,296.46,0.67632305501277,2.69,5.61729827229173,Prospering
5556,119,101.207,65,4,4,69,0.0703924327643472,310.57,0.841052973977513,2.34,6.44378656235948,Strugglng
12223,511,627.5,51,1,13,45,0.897228593108426,40.58,0.143281577868205,24.12,0.550674948346517,Strugglng
25556,180,93.401,50,3,10,48,0.376128004609664,298.07,0.500572597975213,12.71,5.0668171716656,Strugglng
26667,340,715.802,39,3,24,34,0.000480316348181173,369.99,0.947780583207301,1.53,6.75804921120065,Prospering
29112,527,264.43,47,9,15,50,0.561213071934207,190.08,0.495395650180054,12.54,3.95103799235996,Suffering
30112,526,73.879,52,1,12,52,0.583152890246174,190.19,0.535818975234758,10.46,3.8841399393783,Suffering
30334,385,638.776,49,11,14,51,0.651632665508891,152.42,0.431820797166488,13.31,4.01763479040222,Coping
31334,246,713.35,38,8,21,40,0.713918969032872,173.4,0.360191860366364,12.06,3.8450643489759,Blooming
33556,63,963.072,34,3,20,33,0.345094482497682,305.32,0.624831619789872,2.01,5.6876242757209,Prospering
34334,253,219.192,49,6,14,51,0.928275201461015,13.02,0.262768542238249,23.91,0.538216284029001,Depressed
35223,101,76.639,47,4,17,38,0.725819073770851,126.92,0.222187631975002,12.98,2.0477244407922,Just ok
668,436,167.684,66,2,9,66,0.127986856020237,353.29,0.837986545573464,1.91,6.33315174842849,Coping
779,364,579.023,52,11,12,44,0.120966453168696,309.38,0.873998245124067,2.26,6.38966714043554,Just ok
890,593,91.058,43,5,18,40,0.687422291133475,106.59,0.252109392755822,13.36,1.83164592147782,Coping
1001,27,17.732,69,7,5,73,0.337423284102118,287.37,0.669687707952098,1.8,5.63065244284391,Strugglng
3557,419,189.111,52,3,8,49,0.287982082591517,341.52,0.696908130105136,1.44,5.36009356012167,Coping
4223,136,98.939,52,1,11,45,0.664771246793743,162.68,0.359272839834939,13.13,3.83183634167361,Suffering
4334,509,227.999,46,10,15,46,0.178730467419508,328.55,0.868077368671302,2.82,6.52372256143539,Just ok
6001,371,81.626,61,3,10,65,0.805191843574838,170.82,0.395688303268898,10.77,3.99325023501941,Depressed
6334,310,114.366,46,7,15,49,0.730684868880444,132.14,0.23402249184073,12.02,1.88723560086211,Suffering
7112,160,407.289,55,10,11,50,0.382886819322624,324.2,0.692350481094575,2.75,5.68860561357399,Just ok
7223,123,283.568,58,10,10,61,0.189660983613976,306.49,0.803035760817912,2.96,6.4805202128133,Strugglng
7445,307,117.572,55,1,14,47,0.66538003531377,210.2,0.413288809409329,13.27,3.53489933854404,Suffering
7779,54,646.607,45,2,20,41,0.68935691020274,102.46,0.257852162008247,11.27,2.04648820895755,Blooming
8334,23,109.678,38,3,17,40,0.85169039965452,86.49,0.114399158756651,12.72,2.03640527385624,Coping
9001,268,742.612,38,2,21,28,0.834221256658513,56.25,0.175884888251907,12.67,1.74818487278955,Blooming
9334,545,249.457,48,7,14,49,0.275053964884972,324.83,0.883696064871039,1.21,6.50634191448209,Just ok
9667,306,340.588,58,2,9,45,0.269018203960437,248.82,0.557461910422195,12.05,5.48837803046631,Strugglng
10001,318,169.391,49,2,11,51,0.308154190606338,301.13,0.790879630530471,2.3,5.64650052999634,Just ok
10556,251,295.061,57,8,10,46,0.665836596115086,168.63,0.331678499230585,12.92,3.79141966670029,Depressed
10778,519,905.47,43,5,23,35,0.841675802373057,21.94,0.173420439511949,21.86,0.264489494033768,Blooming
11557,159,398.638,49,6,11,47,0.957947211377817,65.73,0.166600492725927,32.4,0.281567615756061,Depressed
12112,444,52.523,67,4,8,64,0.906726697769263,49.43,0.203904506331474,12.61,1.96482052336091,Hopeless
13335,315,48.459,58,6,4,61,0.876900428491161,48.59,0.168167183708131,12.38,1.72722895151245,Hopeless
15779,52,154.569,72,1,10,65,0.815005548346837,67.48,0.159918344164986,32.58,0.223979126963973,Hopeless
15890,84,90.903,51,7,16,47,0.548972994803127,210.78,0.495037679240502,11.87,3.40991597837965,Suffering
16668,401,176.825,42,1,17,36,0.749901332370433,126.48,0.257440848212433,10.75,1.68681637356121,Doing well
17667,385,739.044,38,4,20,38,0.651632665508891,152.42,0.431820797166488,13.31,4.01763479040222,Blooming
18112,517,178.243,71,11,7,65,0.878160459890723,77.83,0.207122612453022,14.76,2.0650996175891,Hopeless
19001,116,827.982,37,3,22,34,0.871218887559692,25.13,0.17801807717696,23.55,0.48514406117537,Blooming
19778,420,484.231,35,1,21,31,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,Blooming
20001,206,898.56,45,4,20,40,0.961698198612175,27.67,0.195768531533383,23.77,0.566687939412825,Just ok
21334,514,40.467,57,5,12,46,0.149807238018291,321.7,0.801696394428349,2.11,6.26663147605008,Just ok
21445,169,824.951,35,6,22,32,0.947225319549459,41.27,0.144814565072669,22.41,0.12224984441607,Blooming
23001,107,487.443,46,6,13,49,0.314395979660569,252.08,0.551385986966844,12.75,5.45798928841686,Just ok
23779,413,633.13,46,6,14,47,0.146530449656987,355.74,0.875978021866837,0.56,6.73583138409817,Doing well
24557,390,488.199,44,7,21,38,0.356138801997474,260.35,0.497795994367275,12.09,5.54603244721637,Blooming
26112,414,436.488,49,1,13,42,0.160446506772966,356.93,0.909579111142044,2.0,6.55072346252634,Doing well
26334,248,859.248,29,3,22,29,0.82230574801648,62.73,0.232294316698199,10.28,1.80300259370838,Blooming
27112,272,451.521,40,5,15,47,0.902970480484622,40.52,0.181846523348745,24.07,0.319426253732511,Suffering
27334,94,462.461,45,1,12,48,0.71714567786078,117.91,0.322279693983873,13.05,1.5889312815113,Strugglng
27445,241,670.215,48,1,15,47,0.117078022077009,318.02,0.823830510665138,1.59,6.49915845097074,Thriving
28957,531,360.053,56,6,9,49,0.912195567156708,30.6,0.19505915531101,22.45,0.510129549964015,Depressed
28968,325,519.687,22,6,12,23,0.156703197960207,315.47,0.920391692277141,2.51,6.55979563564923,Blooming
29024,43,983.892,29,1,24,29,0.13252707327975,323.76,0.870231455831262,2.58,6.3613050094386,Prospering
29124,236,379.945,65,12,10,65,0.704384670299928,123.74,0.337358286137243,12.7,3.64022628118017,Depressed
29168,483,406.913,35,5,26,33,0.883159712536302,21.96,0.189214652583771,33.18,0.3827877654449,Doing well
29235,149,254.135,58,4,11,64,0.672444939092889,132.14,0.248792720141421,11.67,1.94703333419081,Depressed
29402,10,109.152,66,9,6,68,0.869528219080303,40.34,0.227802334912382,32.85,0.47144764452307,Hopeless
29524,423,48.684,46,11,13,47,0.608083768272002,197.16,0.330139764949959,14.18,3.77148688381524,Suffering
29635,424,93.476,70,5,6,65,0.3315985526396,287.68,0.709467902066036,2.75,5.35552786708009,Strugglng
29680,213,306.569,47,6,13,44,0.115038316705218,310.23,0.831476402148554,2.31,6.38102240689995,Just ok
29735,294,105.304,58,3,15,45,0.308468966545694,336.18,0.714148738882873,2.86,5.52337625077853,Doing well
29791,570,597.53,48,2,19,39,0.527477399084607,170.83,0.466761512486337,12.52,3.6562437000755,Blooming
29879,221,861.242,35,8,24,28,0.92333171146711,16.56,0.175914158362273,32.63,0.347596246239806,Doing well
29979,596,132.746,72,10,6,67,0.642455526369913,141.56,0.359885425618452,13.55,3.92032002965838,Hopeless
30024,34,397.587,46,5,17,45,0.895635156893975,9.97,0.225820078269057,32.64,0.491227622375506,Suffering
30079,420,90.605,69,1,6,67,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,Depressed
30135,571,104.191,33,7,21,28,0.939883784446953,55.17,0.107622380842499,11.08,1.6513056517935,Doing well
30179,420,423.911,47,9,19,42,0.646775380060449,137.01,0.234091053232096,12.94,1.92845850496277,Coping
30190,112,292.249,43,1,20,37,0.173461393506848,295.37,0.838365296569086,1.36,6.2495866946755,Thriving
30335,495,290.523,52,2,16,44,0.725292410343541,179.9,0.37883281245502,11.58,3.69620171749677,Doing well
30346,435,309.771,52,6,9,50,0.687314544113763,116.07,0.234873710672092,12.16,1.79771136315478,Depressed
30379,47,232.503,54,3,10,49,0.872610645049399,81.43,0.123058412382201,22.28,0.317862035030971,Depressed
30412,346,110.374,59,1,15,45,0.844700231713992,23.26,0.193858803256679,33.78,0.507044479845763,Suffering
30480,469,436.831,51,5,10,46,0.828859553349725,23.26,0.163796136033351,23.32,0.41550533329238,Depressed
30569,250,651.672,48,8,13,48,0.680793306133277,163.78,0.369902832526371,12.1,3.89377068504356,Coping
30602,412,48.946,56,8,11,48,0.294274748451635,299.35,0.699969448161596,2.09,5.57979063202236,Coping
30635,136,97.645,51,6,14,48,0.664771246793743,162.68,0.359272839834939,13.13,3.83183634167361,Suffering
30646,216,360.851,47,11,11,47,0.117409943199887,343.8,0.886060771242815,1.38,6.72450049145986,Just ok
30757,25,856.678,45,1,21,36,0.850062925341514,11.52,0.108712459331817,32.21,0.288522071532429,Doing well
30768,84,51.679,51,7,10,45,0.548972994803127,210.78,0.495037679240502,11.87,3.40991597837965,Suffering
30791,414,397.428,59,5,10,44,0.160446506772966,356.93,0.909579111142044,2.0,6.55072346252634,Just ok
30813,62,282.955,58,4,10,64,0.0777609134260691,385.36,0.835722035987758,2.4,6.97288534489894,Just ok
30835,546,72.372,67,9,6,71,0.121660446358795,400.0,0.84712473461048,0.88,6.51028153233276,Strugglng
30868,215,201.881,48,1,12,48,0.587636939103207,96.56,0.263026260136988,12.95,1.8292261565761,Suffering
30902,472,477.24,37,4,22,31,0.689902936676003,174.32,0.322932011504897,13.59,3.85015855839195,Blooming
30957,223,537.575,54,4,16,44,0.593186464249821,178.44,0.510255843987575,12.98,3.98405895388522,Just ok
31024,301,152.405,49,5,15,47,0.0682134593053118,335.83,0.851623726197832,2.75,6.70456905619917,Just ok
31057,551,366.157,59,6,9,66,0.764072626756002,93.29,0.261139494609312,13.12,1.98882971027018,Depressed
31068,156,896.577,36,8,23,36,0.928039573882512,62.84,0.164964567756662,23.77,0.0,Doing well
31201,353,148.199,61,1,12,44,0.510702081165599,195.66,0.528199174170259,12.24,3.67224949978974,Strugglng
31268,542,848.415,27,3,21,26,0.846705986714252,58.45,0.187753723965221,22.96,0.622413873513463,Blooming
31335,331,807.949,55,9,15,47,0.335917724436752,262.71,0.71182623697893,0.5,5.73600517715406,Doing well
31379,188,148.313,67,1,6,66,0.664352319111875,104.95,0.188509918860018,11.98,1.86276994322266,Depressed
31390,356,120.573,45,9,14,52,0.927138834618798,83.64,0.184934851374928,12.24,1.7323576217293,Suffering
31401,328,104.314,59,7,9,60,0.4081567583178,325.43,0.634360392377946,1.55,5.22445882947675,Strugglng
31434,487,237.91,56,6,11,50,0.241758088135104,247.37,0.591480640575184,11.99,5.26869725264235,Coping
31501,380,633.377,44,9,19,42,0.312122763608146,307.66,0.732307927186275,1.03,5.38507015637039,Blooming
31512,556,404.023,49,5,22,32,0.719671392900135,95.0,0.306131065373977,11.77,2.14687093925289,Doing well
31558,381,362.283,55,4,13,50,0.475595181446159,223.95,0.574755173700436,11.37,3.75311110391318,Just ok
31724,472,614.7,28,2,11,27,0.689902936676003,174.32,0.322932011504897,13.59,3.85015855839195,Coping
31757,6,264.705,51,1,18,37,0.59121322928856,178.68,0.47948903458752,12.25,4.08985259800019,Doing well
31768,163,767.233,52,1,13,48,0.92146610040012,83.15,0.136895835130548,11.78,1.63639091578037,Coping
31813,122,369.926,23,1,15,27,0.578024491890954,85.98,0.219040197074486,12.51,1.62599996243596,Just ok
31968,98,423.226,48,6,20,37,0.756533985137797,39.07,0.192045589243768,11.93,1.63279873447328,Doing well
32024,215,121.105,55,5,11,46,0.587636939103207,96.56,0.263026260136988,12.95,1.8292261565761,Suffering
32090,510,801.324,48,1,19,37,0.927873922817043,54.76,0.220680606363292,13.53,1.78808497892616,Doing well
32113,74,71.737,57,3,9,62,0.487468341064923,174.5,0.518266062253216,12.26,3.98120162735016,Suffering
32124,372,175.312,63,8,4,65,0.556006948947243,176.6,0.573164199061044,11.91,3.61747390078291,Depressed
32179,489,199.824,54,2,11,46,0.17650534654203,314.36,0.84489657861971,1.15,6.33160039741254,Just ok
32190,583,267.853,41,3,18,39,0.214929114543409,317.71,0.899883999815275,1.69,6.66596616459357,Thriving
32312,310,158.188,33,11,21,32,0.730684868880444,132.14,0.23402249184073,12.02,1.88723560086211,Just ok
32357,191,15.798,68,4,10,67,0.548262522030312,185.44,0.559539710068096,11.78,3.83493297427721,Depressed
32368,236,448.549,55,11,12,46,0.704384670299928,123.74,0.337358286137243,12.7,3.64022628118017,Suffering
32623,97,131.255,58,7,10,62,0.633911193869143,131.72,0.35509437555808,12.98,3.45221517061137,Depressed
32634,105,128.575,19,3,11,27,0.89317857930059,33.29,0.176772288570427,11.74,1.73398719598647,Suffering
32669,549,474.525,47,6,13,48,0.724282788909172,147.3,0.370856872269631,12.12,3.76347158086141,Strugglng
32702,291,522.985,50,5,19,37,0.685719458052574,142.56,0.24351952372233,12.2,1.68759522720062,Doing well
32713,473,748.451,55,3,13,46,0.364146410529362,246.84,0.532461181013929,12.97,5.36015217572863,Just ok
32924,31,473.443,55,1,11,48,0.135873845469611,327.65,0.849854893972557,0.19,6.61256121365472,Just ok
32935,49,515.826,36,6,20,25,0.910576647522705,42.42,0.200126333863376,12.1,1.45160124994588,Doing well
32946,272,273.684,49,6,13,49,0.902970480484622,40.52,0.181846523348745,24.07,0.319426253732511,Depressed
